recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
107125,83.94675754273,9.21267525621,3334879583783434240,195.7703135175528,-12.224679802640097,2.3933993295216034,0.0815435107335186,0.6883055510261531,0.1270197393765262,-2.100351283447317,0.1038779034978326,,,164,16.116241,2.4809198,1.0,Collinder_69     ,,83.94675454046,9.21268429939
107131,84.35998842226,9.23415385469,3334888659049851520,195.9628367522897,-11.862212323139929,2.693372150348916,0.1183169544839888,1.35099114216984,0.1952661197087594,-2.683497878740588,0.1523476177962983,,,123,16.811493,2.900159,0.9,Collinder_69     ,,84.35998252912,9.23416540864
107135,84.22061338142,9.38056498891,3334905460961800448,195.7626305219823,-11.906607047374663,2.565202352209043,0.1269020708882529,1.1557254183773795,0.2333655132792045,-2.9518209077264466,0.185760095397995,,,151,17.126429,3.175764,0.9,Collinder_69     ,,84.22060833794,9.38057769813
107136,84.19076889938,9.37665256132,3334906182516307456,195.7508122817653,-11.933968254902064,2.390578494405048,0.042428839381274,0.8581214013637946,0.0925060152815215,-2.1815821544343805,0.0696452936478032,,,133,14.854869,2.056466,1.0,Collinder_69     ,5288.157,84.19076515465,9.37666195425
107137,84.28371657048,9.46140691591,3334912848305545856,195.72369545223768,-11.811955996618437,2.4154247837066927,0.0718090490108581,0.8216390086791939,0.171137481925082,-1.949274196459429,0.1345113116914891,,,123,15.876656,2.4542236,1.0,Collinder_69     ,,84.28371298408,9.46141530862
107138,84.3025401185,9.50919368387,3334914703731415552,195.69124102893088,-11.771719493917344,2.51584402869013,0.0366177789799797,1.1130139437658944,0.0715601477523407,-2.1372631492259724,0.0564832614423449,,,130,14.727247,1.9390211,1.0,Collinder_69     ,5339.3857,84.30253525959,9.50920288598
107358,83.28843105629,9.22343158929,3337799749227542272,195.4219327661464,-12.778490943924904,2.596437801615282,0.1061772917346249,0.6698646566593479,0.1701274698671179,-1.6763515505689333,0.1327061916439844,,,134,16.009604,2.6391468,1.0,Collinder_69     ,,83.28842813438,9.22343880692
107372,83.92100224351,9.22211159152,3337880533268577280,195.74878452518408,-12.241787482441964,2.4956205077470206,0.1175322772617205,1.1733917714639732,0.1556861128556316,-2.2319894924593013,0.1364945449810039,,,105,15.985807,2.1089163,1.0,Collinder_69     ,,83.92099712525,9.22212120148
107373,83.80357218265,9.26793427211,3337884759516407424,195.64811106728305,-12.318318222227322,2.4629748641516755,0.0990939745529772,2.028905179965332,0.1459900241392214,-2.0994059740327207,0.1230769440492214,,,165,16.407528,2.582263,0.9,Collinder_69     ,3794.3604,83.80356333154,9.26794331122
107374,83.69914647374,9.28787809527,3337885614212496896,195.57685616292528,-12.396895087728227,2.362806104840048,0.1407764276466229,1.540889871821627,0.2079778062574225,-2.036931470557692,0.17695910956865,,,157,17.350227,2.8815079,0.9,Collinder_69     ,3192.903,83.69913975122,9.28788686539
