recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
145958,168.88307110719,-63.09633713266,5240758986239130240,292.32836312142604,-2.2161038735635783,0.6599102568233993,0.0676237805711697,-7.7434465362460285,0.1109268022058801,2.494788612387807,0.1018671123835347,,,265,16.85982,1.4223042,0.7,IC_2714          ,5567.3003,168.88314478777,-63.09634787409
159203,169.94821542196,-63.10480415338,5336777657377742976,292.78230715859365,-2.0532736618050915,0.6585165762953734,0.0191117417659687,-7.612961011420339,0.02777339856756,2.497752875452715,0.0279332214124833,,,250,13.103316,0.6295948,0.9,IC_2714          ,10701.154,169.94828788205,-63.10481490757
159204,169.7150351067,-63.05043422728,5336779787681515008,292.6643249762964,-2.039090162376976,0.7182424930443836,0.0310400920231201,-7.530941693569058,0.0494681229659933,2.498237613624197,0.0422690846292156,,,301,15.373708,1.0959673,1.0,IC_2714          ,6272.6294,169.7151066523,-63.05044498357
159205,169.64746615712,-63.09528573749,5336779886446818432,292.65138021866005,-2.0918216687065767,0.7137766873673081,0.0535713117156692,-7.650908928390019,0.1028086486750142,2.5204422464292784,0.0791014558108079,,,283,16.609669,1.356411,0.9,IC_2714          ,5544.686,169.64753895455,-63.09529658937
159206,169.64657070578,-63.01522168169,5336780642364706560,292.62287890109354,-2.01699428994238,0.7474353799681612,0.0875798969291704,-7.501435400109794,0.1435211066263812,2.794111592449031,0.1160169738718359,,,310,17.447483,1.4782963,1.0,IC_2714          ,,169.64664188505,-63.01523371187
159207,169.56379241073,-63.00419070875,5336780882879334528,292.5838068062153,-2.0198764408361503,0.7315595795447768,0.0272212584492868,-7.575070591137405,0.0409968627203515,2.463519632941745,0.0348761136903075,,,239,12.943732,0.5177841,0.9,IC_2714          ,7730.3774,169.56386426153,-63.00420131556
159208,169.80518474386,-63.03451402977,5336781093351606528,292.69707517676795,-2.0098947927511914,0.7096670940696934,0.0191181945376108,-7.63931850319993,0.0296766231129997,2.815161705086134,0.0259794066613019,,,267,13.5399685,0.8720865,0.8,IC_2714          ,6552.7485,169.80525727944,-63.03452615059
159209,169.74325404619,-63.00343806947,5336781398275414144,292.65987237610307,-1.9905859368912349,0.6731202953371991,0.0174976975351961,-7.547810222976251,0.0280602330413564,2.456376203808709,0.024622687875085,,,268,13.199044,0.5801773,1.0,IC_2714          ,9970.167,169.74332563658,-63.00344864552
159210,169.75086876347,-62.94938019334,5336782021064267520,292.64420832890016,-1.9387289198473032,0.6184700940647286,0.070598060199165,-7.562970806174019,0.126582049356529,2.6153645797346288,0.0897117908173129,,,266,16.480091,1.3274002,0.8,IC_2714          ,6176.1484,169.75094036508,-62.94939145392
159211,169.63638191121,-62.99825551147,5336782124143369984,292.6125859627613,-2.0027316425660477,0.6779356152441888,0.021380193653284,-7.626823988185758,0.0343877894265478,2.718069933307799,0.0297588599012886,,,301,14.30917,0.8866987,1.0,IC_2714          ,6871.5728,169.6364542382,-62.99826721425
159212,169.65834954486,-62.97711456439,5336782261582365440,292.6145094409485,-1.9794337689126809,0.7033905276244128,0.0608301153521689,-7.692268482314319,0.1084262656652326,2.6062948781930317,0.0863581164441168,,,271,16.722744,1.329113,0.7,IC_2714          ,,169.6584224397,-62.97712578592
159213,169.70948334193,-62.93842161696,5336782776978511488,292.62272734762985,-1.9350473919290807,0.6685379353621951,0.0276814192129093,-7.735146848801219,0.0421972826922935,2.8286064449896977,0.036609385075662,,,342,15.329719,1.1134195,0.9,IC_2714          ,6558.371,169.70955654618,-62.93843379566
159214,169.63294274007,-62.92013711429,5336783017477239296,292.58367255129247,-1.9301373749534965,0.7400524081933528,0.1335703606107885,-7.796658183527878,0.2395024533501952,2.680297656143429,0.1775540247530542,,,275,17.991125,1.4561596,0.9,IC_2714          ,5569.7275,169.6330164804,-62.92014865444
159215,169.58557427377,-62.90183316049,5336783086216159616,292.5570295507849,-1.9205839629049952,0.7457695236341749,0.0165949909607519,-7.7280033223261295,0.0248409076846013,2.599038676185592,0.0232521179323189,,,303,13.147212,0.6023159,1.0,IC_2714          ,11044.551,169.58564731913,-62.90184435078
159216,169.20460813485,-63.10814713194,5336785182159837056,292.46844379719903,-2.174809781401576,0.6700437897779952,0.0445723894956212,-7.5329590834989855,0.0740755461323664,2.7262758380143755,0.0701669635646192,,,296,16.229362,1.4406824,1.0,IC_2714          ,5821.4883,169.20467984173,-63.10815887006
159217,169.5094935734,-63.07463773751,5336786071199740928,292.5856095362085,-2.094479233625921,0.7031045545075524,0.0492968262359194,-7.54411429956176,0.0832499349681339,2.679128268942285,0.0669440135602529,,,293,16.37691,1.2934055,0.9,IC_2714          ,5378.693,169.50956530376,-63.07464927263
159218,169.28344076241,-63.03364899615,5336787278103960704,292.4752223438829,-2.092476674299176,0.7055132473991581,0.0208152988892913,-7.43706802277888,0.0303444407019007,2.8454092184780704,0.0274643485676681,,,270,13.370761,0.69025326,1.0,IC_2714          ,6796.7285,169.28351137552,-63.0336612472
