recno,RA_ICRS,DE_ICRS,GaiaDR2,GLON,GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,_RA.icrs,_DE.icrs
221188,250.50056534633,-40.04948051469,5969195751920335360,343.3427951310257,4.084704433286161,5.6891285966418845,0.0483135460714535,-11.746783262763277,0.0961016629503271,-21.42563742454781,0.0605929624060465,1.9570460141942296,1.7397908462568712,329,11.437051,1.2510853,1.0,UPK_640          ,5757.2524,250.50063141698,-40.0493882654
221189,250.59992622447,-40.05832870504,5969200871522420992,343.38618260239326,4.021541600620598,5.501638259783653,0.0868200941571538,-11.591378722376527,0.1751439182593306,-22.008823092909395,0.1010678304793288,0.929682329748566,19.27622205031373,307,9.35607,1.0083923,1.0,UPK_640          ,5086.7866,250.5999914295,-40.05823394481
221190,250.55508684974,-40.04171118942,5969201489997778176,343.37615751958765,4.058341873860122,5.715157783382027,0.0794965041758863,-11.542616664526893,0.1476080399196959,-21.70594201705205,0.092934089202572,,,288,15.079073,3.1277304,1.0,UPK_640          ,,250.55515176464,-40.04161773327
221191,250.50138369472,-40.04600708022,5969201623077411840,343.34583250024207,4.086515070908634,5.58231383200758,0.0539467436876002,-11.029566857843992,0.0950879921945292,-21.046658033608743,0.0644472385378135,,,303,12.827961,1.7029753,1.0,UPK_640          ,5524.043,250.50144572817,-40.04591646264
221200,250.77304848951,-39.88494438193,5969226881848068096,343.6046291652119,4.035001350648073,5.915761131558469,0.0982463076194297,-12.05371468546922,0.1900714311827342,-21.57744136986848,0.1057099448073872,,,226,15.299573,3.0340214,1.0,UPK_640          ,,250.77311612354,-39.88485147904
221201,250.7761234865,-39.81258848491,5969227667759074816,343.6610132659517,4.08058316432772,5.92010908580222,0.0571798011314194,-11.50579893666478,0.1106335596136646,-22.95727625373764,0.0712974226216342,1.3722248432170474,2.398480745056505,258,11.439879,1.2140112,1.0,UPK_640          ,5773.6304,250.77618797813,-39.81248964106
221221,249.76858211146,-40.07150614367,5969301231964471680,342.9551378387355,4.490793913122159,5.905834993422296,0.1946194755547665,-12.228396528251192,0.317029701252708,-21.216230077600983,0.1866179432331972,,,440,17.708023,3.871786,1.0,UPK_640          ,2799.9348,249.76865091322,-40.07141479599
221222,250.04109188616,-39.9518170768,5969305733086048000,343.18375972883865,4.413748450463548,5.3784676940428255,0.0668138651209298,-11.403194938992955,0.1136750770302459,-20.11630833624107,0.0746363479240659,,,441,15.140102,2.6602325,1.0,UPK_640          ,3703.2073,250.0411559326,-39.9517304649
221223,249.92847337402,-39.98289042801,5969308348767269248,343.10310378265706,4.457894219144703,5.421722198478585,0.064991130095594,-13.198916348411682,0.106622707670278,-21.362733300651087,0.0719302289441714,,,493,14.493274,2.6640654,0.8,UPK_640          ,,249.92854753989,-39.98279844955
221231,249.82376943847,-39.95417966627,5969354803135803776,343.07132497714986,4.537013462016691,5.990026187224337,0.205656125040748,-13.165846213490031,0.3836273981969133,-20.442715215464577,0.217923654765789,,,450,16.933771,3.2043562,1.0,UPK_640          ,3129.1487,249.82384338746,-39.954091649
