source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
3334879583783434240,83.94675754272622,9.212675256211618,195.7703135175528,-12.224679802640097,16.116241,2.4809198,2.3933993295216034,0.0815435107335186,100001.0,200111.0,,,3515.5,0.8892009,0.79959553,0.98215914,05354722+0912457,13.4,12.676,12.445,9.528519174380886e-06
3334888659049851520,84.35998842226245,9.234153854686294,195.9628367522897,-11.862212323139929,16.811493,2.900159,2.693372150348916,0.1183169544839888,100001.0,,0.807,0.479,4235.687,,,,05372640+0914030,13.624,12.973,12.679,1.2970079956291379e-05
3334905460961800448,84.22061338142277,9.380564988905272,195.7626305219823,-11.906607047374663,17.126429,3.175764,2.565202352209043,0.1269020708882529,,,,,,,,,05365294+0922500,13.751,13.165,12.863,1.3673372354263634e-05
3334906182516307456,84.19076889937843,9.376652561323263,195.75081228176532,-11.933968254902066,14.854869,2.056466,2.390578494405048,0.042428839381274,100001.0,200111.0,,,3760.0,1.2732104,0.8835825,1.3898646,05364578+0922360,12.441,11.745,11.527,1.0111877358253348e-05
3334912848305545856,84.28371657047819,9.461406915910024,195.72369545223768,-11.811955996618437,15.876656,2.4542236,2.4154247837066927,0.0718090490108581,100001.0,200111.0,,,3748.1025,0.7953996,0.68393296,0.95310503,05370809+0927410,13.133,12.44,12.226,9.126874204337965e-06
3334914703731415552,84.30254011850121,9.509193683874534,195.69124102893088,-11.771719493917344,14.727247,1.9390211,2.51584402869013,0.0366177789799797,100001.0,,,,3843.115,,,,05371260+0930331,12.29,11.602,11.39,1.0406140647851874e-05
3337799749227542272,83.28843105629463,9.22343158929291,195.42193276614637,-12.778490943924904,16.009604,2.6391468,2.596437801615282,0.1061772917346249,100001.0,200111.0,,,3970.5432,0.5751124,0.51960546,0.72510326,05330922+0913244,13.087,12.411,12.14,7.786637652334266e-06
3337880533268577280,83.92100224351307,9.222111591524492,195.74878452518408,-12.241787482441964,15.985807,2.1089163,2.495620507747021,0.1175322772617205,100001.0,200111.0,1.992,0.956,3659.0,0.79256284,0.6311115,0.8386694,05354104+0913196,13.178,12.329,11.933,1.088796867142787e-05
3337884759516407424,83.80357218265019,9.267934272113736,195.64811106728305,-12.318318222227322,16.407528,2.582263,2.4629748641516755,0.0990939745529772,100001.0,200111.0,,,3973.63,0.5034499,0.4334514,0.6731292,05351285+0916046,13.607,12.849,12.621,1.2650991798076625e-05
3337885614212496896,83.69914647373722,9.287878095265024,195.57685616292528,-12.396895087728227,17.350227,2.8815079,2.362806104840048,0.1407764276466229,,,,,,,,,05344779+0917164,14.217,13.617,13.269,1.105021854007925e-05
3337885790308567168,83.69580547644138,9.308959930905557,195.5565589574712,-12.389001191948458,15.982609,2.5613346,2.321573365984197,0.0714573617474272,100001.0,200111.0,,,3762.225,0.7784424,0.5669167,1.024786,05344699+0918322,13.139,12.431,12.206,1.0405212274072578e-05
3337886030826715136,83.79917765530924,9.333008194711748,195.5885088810984,-12.28895307310723,10.675872,0.40598297,2.36826905911421,0.0476193168274285,100001.0,200111.0,0.5375,0.2558,7454.52,1.5976781,1.4640642,1.6275822,05351179+0919588,10.137,10.032,10.002,1.2174481869671464e-05
3337886198328076800,83.71904622736608,9.330977571712816,195.54910998797743,-12.35805278969055,17.922903,3.1665363,2.5197776900096103,0.1939187893997939,,,,,,,,,05345257+0919516,14.519,13.861,13.539,9.985549217347235e-06
3337886438846361984,83.8528377651565,9.31074280337658,195.6356884981424,-12.254685728542617,15.585771,1.1864071,1.03794515151094,0.0774389262328628,100001.0,200111.0,0.573,0.293,4938.01,0.9177075,0.8506274,0.96249175,05352468+0918388,13.924,13.487,13.36,0.0028133899308265655
3337886438846361984,83.8528377651565,9.31074280337658,195.6356884981424,-12.254685728542617,15.585771,1.1864071,1.03794515151094,0.0774389262328628,100001.0,200111.0,0.573,0.293,4938.01,0.9177075,0.8506274,0.96249175,05352468+0918388,13.924,13.487,13.36,0.0028698337651715134
3337887607077366272,83.79801760570642,9.358759384598676,195.565224342054,-12.276836900676042,17.990261,3.0770283,2.4555576348366643,0.1882944651026239,,,,,,,,,05351152+0921316,14.551,13.867,13.446,1.2288720793420562e-05
3337887748813618304,83.82940917004889,9.376120317434133,195.56605555928184,-12.241339492734882,15.375738,2.2128239,2.6047763484999966,0.0619971435077948,100001.0,200111.0,,,3574.0,1.0872722,0.80598694,1.148783,05351905+0922341,12.855,12.099,11.909,9.66683433500844e-06
3337888328631664256,83.82387203274988,9.395724520990033,195.54594173674172,-12.236068475069263,13.372855,1.3762512,2.460839119034921,0.025956155780101,100001.0,200111.0,1.1873,0.6173,4988.0,1.0451232,1.014389,1.1630108,05351772+0923447,11.385,10.951,10.712,1.0605242195667722e-05
3337888332929166208,83.82298871045997,9.39517802509698,195.54596941303208,-12.237096770134643,15.178175,2.0557241,2.406171111679412,0.0603219151684181,100001.0,200111.0,,,3650.0,1.2021244,0.94143856,1.2316396,05351751+0923427,11.677,11.964,10.966,1.3244884751353798e-05
3337891390945938816,83.64370592750844,9.273308697015954,195.5611728488232,-12.451405649420357,14.635983,2.064497,2.468463615035144,0.0419872087315362,100001.0,200111.0,2.5893,1.2975,3891.3333,1.2177323,0.8851782,1.4167585,05343448+0916239,12.119,11.488,11.234,1.0951053261747965e-05
3337892387378470400,83.52245314399343,9.310474130025328,195.4659706191304,-12.535434778771602,15.670479,2.4375935,2.5048533094783965,0.055959095378868,100001.0,200111.0,,,3359.6667,1.2181733,0.848665,1.2495253,05340538+0918377,12.886,12.167,11.96,9.772090199353243e-06
3337893516952972288,83.41463466043456,9.285249293114816,195.4326022956291,-12.639823965235747,17.609015,3.2950878,2.5578288481561198,0.2229772744448188,,,,,,,,,05333951+0917068,14.096,13.454,13.236,1.251996392371134e-05
3337896716705396096,83.45275750176232,9.37847831235696,195.370111157188,-12.559902294898045,15.203757,2.210208,2.5395801030550555,0.0499358758648089,100001.0,200111.0,,,3574.0,1.2070992,1.0088294,1.2550932,05334866+0922425,12.578,11.889,11.647,1.0256838755051671e-05
