source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
5925517137078742016,261.4162142762698,-50.50537042141581,339.68013714582423,-8.33401135782773,17.726076,1.6302471,0.9691418241764592,0.1466269629742979,,,,,,,,,17253989-5030192,15.825,15.08,14.657,2.6998414091266994e-05
5925517927326965120,261.39117116134145,-50.47985855332004,339.6929132369671,-8.306719061143076,16.171276,1.3196774,1.0551528279584592,0.0562769788910399,100001.0,200111.0,0.5613,0.2755,4751.7466,0.7630921,0.68672276,0.89263743,17253388-5028474,14.367,13.949,13.802,2.6352058045577935e-05
5925519473541081984,261.257455975044,-50.5049060851651,339.6246437754957,-8.249276302925352,13.26869,0.7252655,1.1064889167135288,0.0260024488291018,100001.0,200111.0,0.7317,0.3577,6297.25,1.4405949,1.3593659,1.5016488,17250179-5030175,12.327,12.082,12.051,2.7607616799317457e-05
5925520053335664640,261.1600956127849,-50.499010602244766,339.59526869125324,-8.194282064662335,15.510481,1.1932335,1.2446458948224648,0.0437786365266506,100001.0,200111.0,0.296,0.127,4901.5,0.8076825,0.7483795,0.8286811,17243843-5029563,13.986,13.512,13.431,2.5866403849445895e-05
5925521363326813312,261.229443041788,-50.42555292243577,339.68178400237935,-8.19082439573434,15.45028,1.1176863,1.1265261373867,0.0509949923884824,100002.0,200111.0,0.337,0.176,4940.995,0.8985845,0.8659138,1.1384583,17245507-5025318,14.075,13.554,13.478,2.761509303894587e-05
5925521638204686592,261.2989929274174,-50.40858601998551,339.72068061192715,-8.218568239855129,15.373089,1.0673714,1.048412953280273,0.0441680882222282,100001.0,200111.0,0.2797,0.1297,5528.97,0.76270396,0.6000165,0.91574764,17251176-5024307,14.002,13.587,13.636,2.7999952568001848e-05
5925521702601943040,261.26702259397194,-50.39702516817818,339.71915616761754,-8.195188393321652,16.133463,1.2252731,0.374165774120556,0.2123018172856949,100001.0,,,,4840.0,,,,17250408-5023491,14.463,13.97,13.879,0.003250809063765465
5925521809978169856,261.2845146988554,-50.38026700033401,339.7394933867083,-8.195320690954764,17.1557,1.6047516,1.1023107713474083,0.0973204848076138,,,,,,,,,17250827-5022488,15.093,14.439,14.449,2.65897321480647e-05
5925522046199423616,261.26688148177016,-50.36356975649229,339.74736464505645,-8.176757798474396,13.277766,0.7219486,1.086817875084127,0.0245808765130789,100001.0,200111.0,0.4615,0.252,6093.05,1.5636725,1.4474258,1.7563009,17250405-5021487,12.34,12.096,12.072,2.617330916697885e-05
5925522600277556992,261.15100327829305,-50.35410752466171,339.7143301030476,-8.109784309554643,15.238041,1.4542131,0.2420703249346278,0.0454929447100144,100001.0,,,,4456.6323,,,,17243623-5021147,13.39,12.753,12.621,0.0023071632853534463
