source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m,diff_min
64980832261312640,56.70879498158268,23.53208765212497,166.9705975399458,-23.978496506947952,16.317553,2.8989172,7.435068511681746,0.0921601093954209,100001.0,,0.7815,0.4023,4367.8203,,,,03465008+2331563,13.241,12.636,12.375,0.00021692339432893468
64984951133439232,56.552849291993006,23.587018865513155,166.81446760787745,-24.034258777661503,17.125605,3.0165892,7.160652132721784,0.1585421468619621,,,,,,,,,03461266+2335139,13.865,13.225,13.008,0.00021608958099333887
64985127228608128,56.61581291093778,23.5925211352823,166.8571083100985,-23.99133246892971,12.594947,1.5945015,7.258132997063344,0.048402529221162,100001.0,200111.0,,,4387.0,0.7229906,0.62920445,0.787429,03462777+2335337,10.594,10.007,9.821,0.00021139261234458853
64988803720689408,57.08581067609467,23.516882906113697,167.2602222532569,-23.755836362835726,17.79109,3.3021889,7.09561620829703,0.2057726575264887,,,,,,,,,03482057+2331016,14.431,13.816,13.533,0.00021385751284654195
64998905483757568,57.08269846941905,23.60314412633721,167.1940430410076,-23.6943672391446,15.0645685,2.4345636,7.293600691701368,0.0637022392847202,100001.0,,0.442,0.2453,3880.2566,,,,03481983+2336121,12.344,11.717,11.508,0.0002155762729978316
64999558318784768,57.05744752157881,23.632996475032893,167.15337182511848,-23.68809483612878,15.955802,2.797223,7.359041668068635,0.1028675288580677,100001.0,,0.7405,0.4047,3701.4275,,,,03481377+2337596,12.997,12.398,12.12,0.0002207625969328073
64999588381514496,57.07051867858952,23.63659067909121,167.16032916557583,-23.677337618181188,9.986124,0.7458563,7.095886635807336,0.0463259187432937,100001.0,200111.0,0.0685,0.0318,5886.2,1.1732136,1.1403427,1.1990658,03481691+2338125,9.041,8.817,8.736,0.00021136878384137129
65000417312240896,57.046757654798,23.661958425826416,167.12408293049492,-23.673424266915703,15.71589,2.3638,7.214634211680794,0.0864727318967176,102002.0,,,,3810.1,,,,03481120+2339438,12.74,12.113,11.898,0.00021584317363214532
65000863988835200,57.03734790692489,23.706336522751407,167.08434977879332,-23.64660637017364,16.82563,3.0578432,7.449435939204901,0.1264370220489162,100002.0,,0.674,0.398,4181.373,,,,03480894+2342235,13.599,13.05,12.828,0.00022708429311151266
65003612767943040,56.75985183784833,23.54316676082499,167.0002069079323,-23.938726333293648,17.936346,3.231165,7.553948971036758,0.1772067366389745,,,,,,,,,03470233+2332362,14.275,13.657,13.289,0.0002250606749837215
65004437401569664,56.74244795284214,23.560623523598306,166.9744354259119,-23.93661840946598,16.72112,2.7971,7.358708411716663,0.0968043940105151,100001.0,,0.08,0.038,4009.875,,,,03465815+2333391,13.71,13.116,12.859,0.0002196715770442937
65004712279475712,56.72404120206017,23.58336016320949,166.94402693657509,-23.93122523325701,10.383268,0.8226509,7.410569251115423,0.0433632014446421,100001.0,200111.0,0.0362,0.0165,5642.75,1.0259796,0.98480624,1.0711379,03465373+2335009,9.35,9.092,8.996,0.00021874157428339745
65005262035285888,56.765828788964654,23.61612113701928,166.95075337073072,-23.88120729070645,14.286755,2.4694462,7.1364311561007225,0.0502708051723923,100001.0,200111.0,,,3692.4797,0.5881369,0.46289077,0.72184515,03470376+2336588,11.499,10.824,10.591,0.00021398108120998562
65005846150835200,56.86159346019795,23.633884175649943,167.00838049516807,-23.808851195535585,16.357365,3.048687,7.365836586923728,0.1148896110288408,100001.0,,1.244,0.6727,4084.33,,,,03472676+2338027,13.157,12.573,12.282,0.00020847497934706573
65007083101413888,56.861886958106986,23.67813316417608,166.97592158745437,-23.77604972507295,7.7320957,0.2205081,7.604931015974854,0.0602180508818465,100002.0,200111.0,,,7995.3335,1.7122794,1.6106714,1.772232,03472682+2340421,7.406,7.37,7.343,0.00022162843661187044
65007942094880640,56.6870602107624,23.61855893849905,166.89068157126064,-23.92809562988456,17.5849,3.1481514,7.167705825670857,0.1684522910616816,,,,,,,,,03464486+2337075,14.0,13.224,12.878,0.00020306198076055763
65008010814357248,56.68002020714015,23.62260917114157,166.88248244961605,-23.92945322820289,17.415617,2.8909874,7.309224091818323,0.1784763307357283,,,,,,,,,03464317+2337222,14.069,13.391,13.11,0.00021252511996566495
65008388771477120,56.71926583570502,23.64514510815861,166.8949019830803,-23.8885674759596,16.52099,3.149191,7.058621816193022,0.1140316677071337,100001.0,,,,4065.0,,,,03465259+2338433,13.191,12.456,12.206,0.00021433246520573718
65010239900405504,56.77834078756288,23.71495856720168,166.88707699637052,-23.800535598916383,12.001295,1.2329378,7.32202997032494,0.0450718059585706,100001.0,200111.0,0.13,0.063,4964.0,0.6687784,0.56793123,0.69914514,03470678+2342546,10.421,9.995,9.839,0.00021137098880884674
65010519075247616,56.84458450207414,23.735071655408195,166.9211380324836,-23.74476149474165,16.373417,2.9139967,7.494341042277997,0.0818986047308225,100001.0,,0.626,0.3665,4651.6797,,,,03472267+2344071,13.281,12.701,12.445,0.00021911018510737562
65010549138050944,56.8064793078093,23.71409194049985,166.90849377437843,-23.78378958087942,12.213566,1.2762156,7.349683243233597,0.0438921794005004,100001.0,200111.0,0.2335,0.11,4908.3633,0.62204313,0.5849147,0.6513606,03471352+2342515,10.624,10.148,10.009,0.00021716614019570596
65011412428446592,56.78942246309074,23.74198596515098,166.8753313427089,-23.773742280996583,14.190984,2.3946419,7.302015561848563,0.0823546922928752,100001.0,200111.0,,,3660.365,0.6182994,0.37578815,0.71535844,03470943+2344318,11.527,10.94,10.686,0.0002202046142204908
65011962184337664,56.96658171606331,23.663182288859115,167.06415135698853,-23.72223637938868,17.092678,3.067627,7.609715390647766,0.1373494120730321,,,,,,,,,03475195+2339482,13.919,13.277,13.03,0.0002252649586055191
65012408860856832,56.93613476914638,23.700710808970555,167.0139939353389,-23.713454975977516,16.682201,3.062623,7.166039336006279,0.0972546354134243,100001.0,,0.7773,0.4563,3676.97,,,,03474464+2342033,13.526,12.948,12.692,0.0002171924068914464
65013474012743936,56.921681538693065,23.740092044054823,166.97426889218966,-23.693382082609723,13.348431,1.6672621,7.338616687684602,0.032752146732707,100001.0,200111.0,0.1375,0.0685,4357.6226,0.51573014,0.49295217,0.5453411,03474117+2344251,11.361,10.714,10.555,0.00021200722778800287
65014195567317504,57.03323237838808,23.739715334249667,167.05665654982985,-23.62459054230007,16.024557,2.7911282,7.482147579290946,0.1011847768061156,100001.0,,,,3823.03,,,,03480796+2344238,13.03,12.428,12.177,0.00022080962581862374
65014985841292032,57.07240084460315,23.806403391300915,167.03618386891563,-23.551241084649696,16.764149,2.9623728,7.034770374223936,0.1270616013481371,100001.0,,0.541,0.318,4464.767,,,,03481736+2348239,13.676,13.082,12.783,0.0002104538067892764
65017627244152064,56.83746002588787,23.803147410677056,166.86568683966948,-23.69893981485821,6.981759,0.044411182,7.127110734276691,0.0805384214559962,100001.0,,0.261,0.1185,9425.5,,,,03472096+2348121,6.848,6.92,6.895,0.00021662739299627837
65017906418989312,56.80701894368968,23.831299829782576,166.82249545249596,-23.696951062942837,14.777889,2.6395903,7.304778369548448,0.071385385873752,100001.0,,,,3970.5432,,,,03471365+2349535,11.935,11.357,11.089,0.0002206644567684284
65018417518780672,56.88191944178234,23.871824570306952,166.84783658472912,-23.620817950335766,16.897665,3.0387383,7.53281198099578,0.1262476009065836,100001.0,,0.561,0.33,4019.4797,,,,03473163+2352193,13.702,13.135,12.814,0.0002192114114942916
65019246448775424,57.02449256575944,23.88344902350057,166.94412773065642,-23.52416147096415,17.411623,3.1623707,7.323247682365124,0.1684617233440705,,,,,,,,,03480586+2353011,14.141,13.604,13.27,0.00021093337368230576
65020414679879296,56.96895124928979,23.94103047315596,166.86087105210422,-23.51604512646037,9.75268,0.7135601,7.415387496792548,0.0542452733922138,100001.0,200111.0,0.0637,0.0313,6003.3,1.1987591,1.1521593,1.2378452,03475252+2356286,8.853,8.639,8.574,0.0002207970041418043
65086591535491584,56.00257003002663,23.543750194551095,166.4360837186833,-24.40466509846677,10.823414,0.996192,7.221583066446017,0.0443096053866483,100001.0,200111.0,0.246,0.116,5238.0,1.0208724,0.92981184,1.0560584,03440059+2332382,9.65,9.274,9.199,0.0002129784258500809
65165653294149760,56.30591670660496,23.516722911229543,166.68259359707451,-24.238461461020577,16.187,3.1344852,7.19113800728648,0.1193703694494265,100001.0,,,,3894.0352,,,,03451340+2331009,12.883,12.209,11.91,0.00021572665464499513
65168844452782208,56.31845366293713,23.56698069944911,166.65495095125104,-24.193490484534333,17.852543,3.1548843,7.334957984113541,0.1843599188859422,,,,,,,,,03451641+2334018,14.436,13.842,13.479,0.00021624428356818682
65169943964429952,56.27833702057029,23.61414558210446,166.5903772937087,-24.183175361242544,17.023563,3.2870226,7.252443684237349,0.1433406277051963,100001.0,,1.2337,0.719,4444.83,,,,03450678+2336517,13.598,12.998,12.673,0.00021565233800199175
65170016980919808,56.23629462791124,23.606388802655456,166.5647397967241,-24.214756234304133,16.200775,2.8170948,7.226963696191715,0.1187801762800406,100001.0,,0.4713,0.3022,3654.2031,,,,03445667+2336237,13.182,12.567,12.279,0.0002219308764780025
65173620458875008,56.46271554125487,23.62128453386464,166.7223049191439,-24.064463905627573,17.014898,2.5486164,6.9820270275638325,0.1577978204827697,102001.0,,,,3828.0,,,,03455101+2337170,10.647,10.084,12.575,0.00021278075863465182
65175480179315840,56.364692561993095,23.632346858739574,166.64129085552605,-24.11659611371096,17.326775,2.8570576,7.580835990746822,0.1411228981490392,,,,,,,,,03452750+2337572,14.163,13.531,13.269,0.0002213625701223248
65178568258674176,56.41428088640734,23.754102001577262,166.58864553318023,-23.9958681134466,11.889382,1.6295033,7.346930987154904,0.2231308162609258,100001.0,200111.0,,,4375.0,0.9966284,0.9581428,1.0819659,03453940+2345154,9.767,9.224,9.007,0.00022314050851092747
65179946945247488,56.08703131133051,23.560934969518595,166.48667206250772,-24.34011574857733,15.82534,2.727435,7.441898170979434,0.0887012122942916,100001.0,,0.5625,0.3177,4059.725,,,,03442085+2333401,12.901,12.249,11.99,0.00021965984974504717
65181527493208192,56.132236908286586,23.590431545441653,166.49879862730157,-24.29047130937533,16.08218,2.8114948,7.189564795415239,0.0852232821001631,100001.0,,0.7365,0.4165,3921.1,,,,03443170+2335263,13.09,12.461,12.175,0.0002156722526949993
65188090203295744,56.27210738288761,23.70247235332441,166.52084570918623,-24.1214588422561,8.880561,0.544425,7.34952552394294,0.0474769350744224,100001.0,200111.0,0.198,0.076,6707.242,1.4409637,1.2518686,1.4932055,03450528+2342097,8.205,8.041,8.0,0.00022064709725951105
65189739470654464,56.27089234800248,23.768298240614183,166.47162555170456,-24.073339074087688,17.131018,3.1761122,7.45844433352404,0.1213949661500531,,,,,,,,,03450499+2346067,13.755,13.175,12.839,0.00022177432596024048
65190048708380160,56.338368827079,23.72727712316995,166.55193816549203,-24.062382523713325,12.087304,1.5521803,7.214712478561873,0.0399114673860318,100001.0,200111.0,,,4333.5,0.95356286,0.8672047,1.0028116,03452118+2343389,10.153,9.609,9.402,0.000213234546801839
65190220507070208,56.3733163680427,23.760308671851,166.55365638229608,-24.016426640943195,12.866021,1.5620556,7.258553033682535,0.0383876559258608,100001.0,200111.0,0.222,0.092,4363.6235,0.6484329,0.58511937,0.69235,03452957+2345379,11.063,10.417,10.251,0.00021666708100638577
65194584193758336,56.26374877792856,23.83921565790512,166.41430088759657,-24.02505225056408,11.68959,1.1299181,7.280531682174002,0.0498046961431155,100001.0,200111.0,0.1255,0.0633,4984.09,0.7684375,0.709903,0.7898709,03450326+2350219,10.261,9.835,9.73,0.00021925570028285255
65196370900147968,56.22443016925663,23.92109210741919,166.32507437623457,-23.988272431463702,10.587136,1.0486097,7.186253009391363,0.0386055669261681,100001.0,200111.0,0.675,0.336,5033.533,1.2615256,1.2192379,1.3040473,03445383+2355165,9.312,8.935,8.816,0.00021930852450840487
65196405259884544,56.24421728502989,23.92788317834986,166.33481647221635,-23.97112522457453,16.123646,2.7919922,7.136004944625235,0.0984933836633741,100001.0,,,,3904.36,,,,03445857+2355410,13.082,12.432,12.128,0.00022002598213783473
