source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
69807271693001344,56.1860412530677,24.712409767354885,165.72000346655216,-23.4221671594969,18.793413,2.2961884,1.2671505411463817,0.304612407545739,,,,,,,,,"03444464+2442446",15.972,15.497,14.881
69807443491693952,56.251115510407374,24.714656109009955,165.76643357336334,-23.38113266853641,16.8965,1.287363,0.19480400958026745,0.10396495471356042,100001,,,,4756.3135,,,,"03450026+2442527",15.143,14.642,14.555
69806623154968320,56.263584874229316,24.693750045725317,165.79081189764273,-23.389177076620125,16.483402,1.0102091,0.36707862390985385,0.08729146195665055,100001,,0.7983,0.3943,5183.3047,,,,"03450326+2441375",15.17,14.884,14.932
69807001112092416,56.20420758862098,24.695044306389807,165.7460230580802,-23.424141463200915,16.307106,1.0898075,0.7104203789658519,0.071480052284919,100001,200111,0.2843,0.1395,5043.41,0.91148007,0.8418882,0.9979337,"03444900+2441422",14.925,14.513,14.447
69805901600465152,56.24727987058528,24.655705911949305,165.8063945555454,-23.427418184031712,14.547553,1.0128975,0.7856834073941495,0.03787954512719587,100001,200111,,,5188.9023,1.7274711,1.6401093,1.817272,"03445934+2439206",13.213,12.87,12.816
69805901600465536,56.248962736481666,24.646362553208448,165.81442262578935,-23.433366141138784,14.885339,1.2477493,1.540881347490207,0.0485358275448014,100001,200111,0.58,0.298,4831.4224,0.9035882,0.82390314,0.96879053,"03445974+2438470",13.305,12.844,12.773
69806588793837184,56.31328941440246,24.7150098743995,165.81204829672157,-23.34323207048698,19.54529,2.5070171,3.3314496267891025,0.6777591948655061,,,,,,,,,"03451517+2442542",16.245,15.521,15.194
69805798521250560,56.24863080789204,24.64258410830894,165.81692154227167,-23.436384549659685,16.319607,1.3163252,0.8484508062415559,0.07982814748344179,100001,200111,0.772,0.378,4761.92,0.8812306,0.7993072,0.9530429,"03445966+2438335",14.658,14.145,13.959
69806142118633984,56.21224503845057,24.66677705657231,165.77247466316973,-23.440369012154267,14.731071,1.087204,0.8724333346588755,0.037515746716972505,100001,200111,,,5006.63,1.5622873,1.448314,1.5988863,"03445094+2440005",13.329,13.016,12.932
69806210836731648,56.245986085606894,24.67240578618551,165.79331366442125,-23.41574796494555,19.830675,2.069027,1.4403354099312873,0.6193050016522589,,,,,,,,,"03445902+2440206",16.744,15.845,15.623
69805935960203392,56.27054135301558,24.647476519636733,165.82954961670418,-23.419465001232346,16.73379,1.6730881,0.6919428146387274,0.11265785837045883,100001,,1.8963,0.947,4297.5,,,,"03450493+2438510",14.531,13.83,13.717
69806107758895104,56.241042929435785,24.664036445851373,165.79573917726992,-23.424982175287155,16.201418,1.3001919,0.9839483448373155,0.07023973453344974,100001,200111,0.6125,0.2797,4892.6665,0.7467374,0.7121359,0.7899825,"03445783+2439506",14.517,14.002,13.907
69806107758894976,56.243964995744186,24.665881371592434,165.79655789544037,-23.421837197966774,16.28718,2.1536427,2.798620559861841,0.07863423176549156,100001,200111,0.7153,0.2993,3595.3333,0.6520304,0.47215882,0.6731436,"03445851+2439575",13.77,12.988,12.845
69806176478371456,56.2281001441552,24.683007602210683,165.77240785734998,-23.418666480380974,14.5095005,1.1676054,1.4690955270795074,0.034904610172477514,100001,200111,0.646,0.319,4886.0,1.0940062,1.0243938,1.1544219,"03445474+2440588",13.037,12.568,12.526
69805970319940736,56.28397801051959,24.667799210426278,165.8247079796243,-23.39617573841306,17.560856,1.2137966,0.009790135531668142,0.161529668281258,,,,,,,,,"03450815+2440041",15.987,15.58,15.346
69806039039416832,56.27740405421808,24.678415237568007,165.81214609459772,-23.392243448326536,17.659185,3.1098652,7.554070400251451,0.1688967296343097,,,,,,,,,"03450655+2440429",14.227,13.61,13.325
69806348277062272,56.29306091931139,24.670088932690437,165.82974837852174,-23.38896673823472,20.139856,,,,,,,,,,,,"03451033+2440123",16.232,15.456,14.875
69806348277061888,56.28682600823468,24.675129084648784,165.8214864269394,-23.388986685679498,13.180973,1.2647438,1.6951814723265226,0.031820290192044125,100001,200111,1.701,0.8635,4970.9976,1.671844,1.2864012,1.8066145,"03450879+2440309",11.589,11.095,11.007
69806416996538240,56.28170010569997,24.683853287905656,165.81136791991173,-23.385587603690016,17.150578,1.7132893,1.2995650262034402,0.11306927571663383,,,,,,,,,"03450760+2441020",15.008,14.401,14.123
69807993247507584,56.34198714603506,24.71438568677235,165.83365957163414,-23.326314147134802,18.013273,1.5530453,0.6552477020455435,0.18645426514302824,,,,,,,,,"03452209+2442518",15.948,15.396,15.285
69810192270761984,56.159792910525056,24.71060070775584,165.70191576992482,-23.43938357765627,16.977383,1.2951508,0.33541942866089247,0.11602171662411809,100001,,1.743,0.889,4751.7466,,,,"03443833+2442382",15.323,14.877,14.635
69806515778757120,56.32208842185671,24.7120801374446,165.82066405363196,-23.340086448253587,16.466839,1.4890165,1.098312185424899,0.0796871403100871,100001,200111,0.823,0.402,4477.0,0.75644106,0.62129146,0.7799542,"03451729+2442433",14.607,14.015,13.943
69806962455352960,56.1978030314662,24.682753687870687,165.75020830103233,-23.43718656617656,18.408293,2.8082008,6.81819797401936,0.25407959751166415,,,,,,,,,"03444743+2440571",15.165,14.741,14.322
69806378339800832,56.2966026747789,24.6841419735642,165.8221552080273,-23.37634650053046,18.359095,1.3500366,0.4237647583083666,0.27393591713130155,,,,,,,,,"03451119+2441028",16.385,15.696,15.793
