source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
2926169263247758848,102.06734495595,-21.284171252026002,231.73240599963034,-10.194139705016166,18.434166,1.7368088,0.7334910128709321,0.22585036624884078,,,,,,,,,"06481611-2117032",16.373,15.708,15.513
2926169155866881152,102.06153348905667,-21.293401178698424,231.7385355519062,-10.202978212391693,17.98715,1.4542503,0.23346481151373016,0.14783236069260913,,,,,,,,,"06481476-2117362",16.186,15.494,15.457
2926167644038375040,102.04457090474851,-21.317815119660292,231.75410973561745,-10.227693757204804,19.664963,2.6151485,2.562295324429458,0.474493528897049,,,,,,,,,"06481069-2119040",16.295,15.904,15.397
2926169091448767360,102.07133658211389,-21.297628400841848,231.7463830435491,-10.196525113830297,17.00083,0.96378136,0.16099797181813927,0.08258621030506716,100001,,,,5325.0,,,,"06481712-2117513",15.718,15.342,15.458
2926168984068186368,102.09311955198781,-21.297035791790876,231.75464757033816,-10.17792168860405,18.171833,1.1244469,1.3802205706930655,0.26412206429107504,,,,,,,,,"06482236-2117489",16.468,15.954,15.801
2926169263247457664,102.07294897132851,-21.289247057182056,231.7393352906963,-10.191586603292656,14.331309,0.8891001,0.5996981449936696,0.03170479183433826,100001,200111,,,5773.45,1.9568881,1.6728357,2.152396,"06481751-2117212",13.191,12.876,12.769
2926169297607192704,102.09208480757917,-21.273009952783305,231.73215975522248,-10.16852782078726,16.283287,1.3022366,0.2681953003524995,0.059056312409480935,100001,,,,4862.263,,,,"06482210-2116228",14.642,14.093,13.954
2926169606844837760,102.10184647288033,-21.27605469718429,231.73890548059146,-10.161604809537586,17.289549,1.1112156,0.20408811457168424,0.11463191037135008,,,,,,,,,"06482443-2116341",15.996,15.445,15.151
2926169228887717504,102.09535773339982,-21.2849763185647,231.74447534737357,-10.170883612954905,18.135696,1.5237656,0.7772401669354136,0.15784570977808154,,,,,,,,,"06482288-2117057",16.195,15.714,15.389
2926169091440075008,102.0754623729134,-21.308301549956845,231.75785665889472,-10.19760843750609,19.526165,,,,,,,,,,,,"06481807-2118295",16.408,15.799,15.271
